customer_id,city,segment,age
CUST0001,Mombasa,Corporate,47
CUST0002,Mombasa,Home Office,43
CUST0003,Kisumu,Corporate,50
CUST0004,Nairobi,Home Office,25
CUST0005,Nairobi,Home Office,47
CUST0006,Kisumu,Retail,60
CUST0007,Mombasa,Corporate,32
CUST0008,Kisumu,Retail,29
CUST0009,Mombasa,Retail,40
CUST0010,Kisumu,Home Office,44
CUST0011,Mombasa,Corporate,47
CUST0012,Kisumu,Corporate,28
CUST0013,Nairobi,Retail,18
CUST0014,Eldoret,Retail,54
CUST0015,Mombasa,Retail,28
CUST0016,Nairobi,Home Office,33
CUST0017,Eldoret,Home Office,42
CUST0018,Mombasa,Home Office,53
CUST0019,Nairobi,Home Office,33
CUST0020,Kisumu,Home Office,55
CUST0021,Kisumu,Home Office,61
CUST0022,Kisumu,Home Office,41
CUST0023,Eldoret,Corporate,21
CUST0024,Nairobi,Corporate,59
CUST0025,Eldoret,Corporate,33
CUST0026,Eldoret,Home Office,49
CUST0027,Kisumu,Retail,21
CUST0028,Kisumu,Retail,21
CUST0029,Kisumu,Home Office,62
CUST0030,Nairobi,Home Office,21
CUST0031,Mombasa,Corporate,51
CUST0032,Mombasa,Home Office,65
CUST0033,Kisumu,Corporate,47
CUST0034,Nairobi,Home Office,25
CUST0035,Eldoret,Retail,51
CUST0036,Nairobi,Home Office,56
CUST0037,Mombasa,Retail,42
CUST0038,Nairobi,Corporate,61
CUST0039,Mombasa,Home Office,60
CUST0040,Eldoret,Home Office,20
CUST0041,Eldoret,Retail,21
CUST0042,Eldoret,Retail,30
CUST0043,Mombasa,Retail,24
CUST0044,Nairobi,Retail,31
CUST0045,Nairobi,Retail,34
CUST0046,Nairobi,Home Office,64
CUST0047,Eldoret,Retail,52
CUST0048,Eldoret,Corporate,46
CUST0049,Kisumu,Home Office,47
CUST0050,Mombasa,Home Office,55
CUST0051,Kisumu,Corporate,27
CUST0052,Mombasa,Corporate,22
CUST0053,Kisumu,Corporate,34
CUST0054,Nairobi,Retail,32
CUST0055,Nairobi,Corporate,35
CUST0056,Nairobi,Corporate,37
CUST0057,Nairobi,Retail,53
CUST0058,Kisumu,Retail,43
CUST0059,Nairobi,Home Office,23
CUST0060,Mombasa,Corporate,59
CUST0061,Nairobi,Retail,55
CUST0062,Kisumu,Corporate,61
CUST0063,Eldoret,Retail,64
CUST0064,Mombasa,Retail,19
CUST0065,Kisumu,Home Office,27
CUST0066,Mombasa,Home Office,18
CUST0067,Nairobi,Home Office,38
CUST0068,Eldoret,Retail,42
CUST0069,Eldoret,Home Office,46
CUST0070,Mombasa,Retail,28
CUST0071,Kisumu,Retail,58
CUST0072,Eldoret,Home Office,65
CUST0073,Mombasa,Corporate,55
CUST0074,Nairobi,Home Office,37
CUST0075,Mombasa,Retail,55
CUST0076,Mombasa,Retail,43
CUST0077,Eldoret,Corporate,63
CUST0078,Kisumu,Retail,22
CUST0079,Nairobi,Corporate,44
CUST0080,Nairobi,Home Office,27
CUST0081,Eldoret,Retail,62
CUST0082,Nairobi,Corporate,58
CUST0083,Nairobi,Home Office,54
CUST0084,Mombasa,Retail,53
CUST0085,Mombasa,Retail,40
CUST0086,Eldoret,Home Office,64
CUST0087,Nairobi,Home Office,49
CUST0088,Kisumu,Retail,61
