order_id,product_id,quantity,unit_price,discount
ORD00001,PROD006,3,1047,0.08
ORD00001,PROD004,3,1905,0.16
ORD00001,PROD004,1,1905,0.07
ORD00001,PROD007,3,870,0.23
ORD00002,PROD006,3,1047,0.22
ORD00002,PROD012,5,215,0.2
ORD00002,PROD008,2,1365,0.23
ORD00003,PROD002,1,1459,0.18
ORD00003,PROD002,5,1459,0.01
ORD00004,PROD002,4,1459,0.26
ORD00004,PROD005,2,587,0.12
ORD00005,PROD002,4,1459,0.28
ORD00005,PROD003,2,1220,0.17
ORD00005,PROD008,5,1365,0.17
ORD00005,PROD008,2,1365,0.09
ORD00006,PROD003,4,1220,0.22
ORD00006,PROD002,1,1459,0.11
ORD00007,PROD008,2,1365,0.09
ORD00007,PROD009,1,796,0.23
ORD00008,PROD004,3,1905,0.18
ORD00009,PROD001,4,1723,0.04
ORD00009,PROD009,4,796,0.11
ORD00009,PROD007,2,870,0.19
ORD00009,PROD006,1,1047,0.12
ORD00010,PROD006,4,1047,0.02
ORD00011,PROD011,3,1093,0.1
ORD00012,PROD010,4,321,0.11
ORD00012,PROD002,5,1459,0.06
ORD00012,PROD004,3,1905,0.16
ORD00013,PROD006,2,1047,0.01
ORD00014,PROD010,2,321,0.27
ORD00014,PROD007,2,870,0.1
ORD00014,PROD011,3,1093,0.03
ORD00014,PROD001,3,1723,0.08
ORD00015,PROD006,5,1047,0.28
ORD00016,PROD002,4,1459,0.03
ORD00017,PROD010,5,321,0.11
ORD00017,PROD003,2,1220,0.05
ORD00017,PROD005,4,587,0.23
ORD00017,PROD008,2,1365,0.21
ORD00018,PROD012,1,215,0.15
ORD00018,PROD005,1,587,0.16
ORD00018,PROD001,5,1723,0.06
ORD00018,PROD005,2,587,0.21
ORD00019,PROD008,2,1365,0.13
ORD00019,PROD003,2,1220,0.25
ORD00019,PROD003,3,1220,0.24
ORD00019,PROD011,1,1093,0.2
ORD00020,PROD003,5,1220,0.13
ORD00020,PROD008,4,1365,0.09
ORD00020,PROD011,5,1093,0.21
ORD00020,PROD004,2,1905,0.28
ORD00021,PROD005,2,587,0.03
