order_id,customer_id,order_date
ORD00001,CUST0128,2024-06-14
ORD00002,CUST0218,2024-09-06
ORD00003,CUST0052,2024-01-06
ORD00004,CUST0091,2024-11-19
ORD00005,CUST0073,2024-10-04
ORD00006,CUST0091,2024-02-02
ORD00007,CUST0020,2024-05-01
ORD00008,CUST0054,2024-11-14
ORD00009,CUST0202,2024-09-21
ORD00010,CUST0245,2024-11-06
ORD00011,CUST0284,2024-05-24
ORD00012,CUST0256,2024-03-06
ORD00013,CUST0196,2024-07-21
ORD00014,CUST0270,2024-02-18
ORD00015,CUST0013,2024-04-16
ORD00016,CUST0153,2024-07-29
ORD00017,CUST0086,2024-02-06
ORD00018,CUST0186,2024-07-15
ORD00019,CUST0097,2024-05-02
ORD00020,CUST0169,2024-03-24
ORD00021,CUST0098,2024-06-15
ORD00022,CUST0155,2024-03-28
ORD00023,CUST0164,2024-08-03
ORD00024,CUST0233,2024-03-04
ORD00025,CUST0231,2024-09-05
ORD00026,CUST0208,2024-07-31
ORD00027,CUST0086,2024-04-09
ORD00028,CUST0243,2024-02-03
ORD00029,CUST0178,2024-04-14
ORD00030,CUST0216,2024-09-05
ORD00031,CUST0255,2024-11-27
ORD00032,CUST0067,2024-10-24
ORD00033,CUST0027,2024-10-03
ORD00034,CUST0279,2024-10-04
ORD00035,CUST0134,2024-09-21
ORD00036,CUST0004,2024-12-05
ORD00037,CUST0093,2024-09-14
ORD00038,CUST0264,2024-11-06
ORD00039,CUST0271,2024-12-05
ORD00040,CUST0286,2024-12-10
ORD00041,CUST0041,2024-03-06
ORD00042,CUST0006,2024-08-15
ORD00043,CUST0145,2024-08-15
ORD00044,CUST0226,2024-06-12
ORD00045,CUST0113,2024-05-17
ORD00046,CUST0300,2024-06-04
ORD00047,CUST0133,2024-03-16
ORD00048,CUST0300,2024-12-26
ORD00049,CUST0272,2024-02-15
ORD00050,CUST0122,2024-12-28
ORD00051,CUST0054,2024-07-12
ORD00052,CUST0074,2024-02-28
ORD00053,CUST0069,2024-10-11
ORD00054,CUST0238,2024-03-31
ORD00055,CUST0150,2024-02-27
ORD00056,CUST0139,2024-05-25
ORD00057,CUST0027,2024-04-01
ORD00058,CUST0278,2024-09-26
ORD00059,CUST0039,2024-11-05
ORD00060,CUST0286,2024-12-07
ORD00061,CUST0113,2024-10-12
ORD00062,CUST0211,2024-09-26
ORD00063,CUST0182,2024-02-15
ORD00064,CUST0274,2024-05-19
ORD00065,CUST0122,2024-10-14
ORD00066,CUST0202,2024-08-22
ORD00067,CUST0258,2024-11-16
ORD00068,CUST0289,2024-09-10
ORD00069,CUST0056,2024-01-06
ORD00070,CUST0087,2024-01-03
ORD00071,CUST0129,2024-12-06
ORD00072,CUST0125,2024-11-24
ORD00073,CUST0128,2024-01-11
ORD00074,CUST0184,2024-04-08
ORD00075,CUST0168,2024-03-04
ORD00076,CUST0028,2024-05-20
ORD00077,CUST0095,2024-11-16
ORD00078,CUST0234,2024-08-28
ORD00079,CUST0298,2024-05-03
ORD00080,CUST0159,2024-04-04
ORD00081,CUST0056,2024-04-15
ORD00082,CUST0040,2024-04-08
ORD00083,CUST0112,2024-06-04
ORD00084,CUST0088,2024-05-05
ORD00085,CUST0229,2024-03-25
ORD00086,CUST0018,2024-11-15
ORD00087,CUST0045,2024-02-19
ORD00088,CUST0110,2024-08-30
ORD00089,CUST0210,2024-01-29
ORD00090,CUST0151,2024-10-09
ORD00091,CUST0097,2024-10-31
ORD00092,CUST0055,2024-04-25
ORD00093,CUST0027,2024-09-02
ORD00094,CUST0024,2024-01-21
ORD00095,CUST0225,2024-08-30
ORD00096,CUST0110,2024-08-29
ORD00097,CUST0026,2024-03-12
ORD00098,CUST0083,2024-10-08
ORD00099,CUST0100,2024-04-12
ORD00100,CUST0158,2024-03-16
ORD00101,CUST0045,2024-02-19
ORD00102,CUST0269,2024-06-15
ORD00103,CUST0227,2024-07-23
ORD00104,CUST0165,2024-10-13
ORD00105,CUST0119,2024-09-22
