order_id,payment_method,payment_status
ORD00001,Credit Card,Pending
ORD00002,Bank Transfer,Pending
ORD00003,Mpesa,Paid
ORD00004,Credit Card,Paid
ORD00005,Mpesa,Pending
ORD00006,Bank Transfer,Pending
ORD00007,Credit Card,Paid
ORD00008,Bank Transfer,Paid
ORD00009,Credit Card,Pending
ORD00010,Mpesa,Pending
ORD00011,Credit Card,Pending
ORD00012,Bank Transfer,Pending
ORD00013,Bank Transfer,Paid
ORD00014,Credit Card,Pending
ORD00015,Mpesa,Pending
ORD00016,Credit Card,Paid
ORD00017,Bank Transfer,Paid
ORD00018,Mpesa,Paid
ORD00019,Mpesa,Paid
ORD00020,Credit Card,Pending
ORD00021,Credit Card,Pending
ORD00022,Mpesa,Paid
ORD00023,Bank Transfer,Paid
ORD00024,Credit Card,Pending
ORD00025,Bank Transfer,Paid
ORD00026,Mpesa,Pending
ORD00027,Mpesa,Paid
ORD00028,Credit Card,Pending
ORD00029,Bank Transfer,Pending
ORD00030,Credit Card,Paid
ORD00031,Mpesa,Pending
ORD00032,Bank Transfer,Paid
ORD00033,Mpesa,Paid
ORD00034,Credit Card,Paid
ORD00035,Credit Card,Paid
ORD00036,Bank Transfer,Paid
ORD00037,Mpesa,Paid
ORD00038,Credit Card,Paid
ORD00039,Bank Transfer,Pending
ORD00040,Mpesa,Pending
ORD00041,Bank Transfer,Paid
ORD00042,Bank Transfer,Pending
ORD00043,Mpesa,Paid
ORD00044,Bank Transfer,Pending
ORD00045,Mpesa,Paid
ORD00046,Mpesa,Paid
ORD00047,Mpesa,Paid
ORD00048,Credit Card,Pending
ORD00049,Bank Transfer,Paid
ORD00050,Mpesa,Pending
ORD00051,Mpesa,Paid
ORD00052,Mpesa,Pending
ORD00053,Bank Transfer,Paid
ORD00054,Credit Card,Paid
ORD00055,Bank Transfer,Pending
ORD00056,Credit Card,Paid
ORD00057,Bank Transfer,Pending
ORD00058,Credit Card,Pending
ORD00059,Bank Transfer,Pending
ORD00060,Mpesa,Paid
ORD00061,Mpesa,Pending
ORD00062,Credit Card,Pending
ORD00063,Bank Transfer,Pending
ORD00064,Mpesa,Pending
ORD00065,Credit Card,Paid
ORD00066,Mpesa,Pending
ORD00067,Bank Transfer,Pending
ORD00068,Credit Card,Paid
ORD00069,Credit Card,Paid
ORD00070,Bank Transfer,Paid
ORD00071,Bank Transfer,Pending
ORD00072,Credit Card,Pending
ORD00073,Mpesa,Paid
ORD00074,Mpesa,Paid
ORD00075,Bank Transfer,Paid
ORD00076,Credit Card,Pending
ORD00077,Credit Card,Pending
ORD00078,Mpesa,Pending
ORD00079,Credit Card,Paid
ORD00080,Mpesa,Pending
ORD00081,Mpesa,Paid
ORD00082,Bank Transfer,Paid
ORD00083,Mpesa,Paid
ORD00084,Bank Transfer,Paid
ORD00085,Credit Card,Paid
ORD00086,Bank Transfer,Paid
ORD00087,Mpesa,Pending
ORD00088,Bank Transfer,Paid
ORD00089,Bank Transfer,Paid
ORD00090,Mpesa,Pending
ORD00091,Credit Card,Pending
ORD00092,Credit Card,Paid
ORD00093,Bank Transfer,Paid
ORD00094,Mpesa,Paid
ORD00095,Mpesa,Paid
ORD00096,Credit Card,Paid
ORD00097,Bank Transfer,Pending
ORD00098,Mpesa,Pending
ORD00099,Mpesa,Paid
ORD00100,Mpesa,Pending
ORD00101,Mpesa,Paid
ORD00102,Credit Card,Paid
ORD00103,Credit Card,Paid
ORD00104,Credit Card,Pending
ORD00105,Bank Transfer,Paid
ORD00106,Credit Card,Paid
ORD00107,Bank Transfer,Paid
ORD00108,Mpesa,Pending
ORD00109,Mpesa,Pending
ORD00110,Bank Transfer,Pending
ORD00111,Bank Transfer,Pending
ORD00112,Credit Card,Paid
ORD00113,Bank Transfer,Pending
ORD00114,Mpesa,Pending
ORD00115,Credit Card,Paid
ORD00116,Mpesa,Pending
ORD00117,Credit Card,Pending
ORD00118,Mpesa,Pending
ORD00119,Credit Card,Paid
ORD00120,Credit Card,Pending
ORD00121,Bank Transfer,Pending
ORD00122,Mpesa,Pending
ORD00123,Credit Card,Paid
ORD00124,Mpesa,Pending
ORD00125,Bank Transfer,Pending
ORD00126,Bank Transfer,Paid
ORD00127,Mpesa,Paid
ORD00128,Bank Transfer,Pending
ORD00129,Mpesa,Pending
ORD00130,Credit Card,Pending
ORD00131,Bank Transfer,Paid
ORD00132,Bank Transfer,Pending
ORD00133,Bank Transfer,Pending
ORD00134,Credit Card,Paid
ORD00135,Bank Transfer,Paid
ORD00136,Bank Transfer,Paid
ORD00137,Mpesa,Paid
ORD00138,Credit Card,Pending
ORD00139,Credit Card,Paid
ORD00140,Bank Transfer,Pending
ORD00141,Bank Transfer,Paid
ORD00142,Mpesa,Paid
ORD00143,Bank Transfer,Pending
ORD00144,Mpesa,Paid
ORD00145,Mpesa,Paid
ORD00146,Credit Card,Paid
ORD00147,Mpesa,Pending
ORD00148,Credit Card,Pending
ORD00149,Bank Transfer,Pending
ORD00150,Credit Card,Pending
ORD00151,Credit Card,Paid
ORD00152,Credit Card,Pending
ORD00153,Mpesa,Pending
ORD00154,Credit Card,Paid
ORD00155,Mpesa,Pending
ORD00156,Credit Card,Paid
ORD00157,Bank Transfer,Pending
ORD00158,Mpesa,Paid
ORD00159,Bank Transfer,Pending
ORD00160,Bank Transfer,Paid
ORD00161,Mpesa,Paid
ORD00162,Mpesa,Pending
ORD00163,Credit Card,Pending
ORD00164,Credit Card,Paid
ORD00165,Bank Transfer,Pending
ORD00166,Mpesa,Pending
ORD00167,Mpesa,Pending
ORD00168,Mpesa,Pending
ORD00169,Credit Card,Paid
ORD00170,Bank Transfer,Pending
ORD00171,Credit Card,Paid
ORD00172,Credit Card,Paid
ORD00173,Bank Transfer,Paid
ORD00174,Mpesa,Paid
ORD00175,Credit Card,Paid
ORD00176,Bank Transfer,Pending
ORD00177,Bank Transfer,Paid
ORD00178,Mpesa,Paid
ORD00179,Credit Card,Paid
ORD00180,Bank Transfer,Paid
ORD00181,Bank Transfer,Paid
ORD00182,Bank Transfer,Paid
ORD00183,Bank Transfer,Pending
ORD00184,Bank Transfer,Pending
ORD00185,Bank Transfer,Paid
ORD00186,Credit Card,Paid
ORD00187,Bank Transfer,Pending
ORD00188,Credit Card,Paid
ORD00189,Credit Card,Paid
ORD00190,Mpesa,Pending
ORD00191,Mpesa,Pending
ORD00192,Bank Transfer,Pending
ORD00193,Mpesa,Paid
ORD00194,Bank Transfer,Paid
ORD00195,Mpesa,Paid
ORD00196,Credit Card,Pending
ORD00197,Bank Transfer,Paid
ORD00198,Bank Transfer,Paid
ORD00199,Bank Transfer,Paid
ORD00200,Mpesa,Paid
ORD00201,Credit Card,Pending
ORD00202,Credit Card,Paid
ORD00203,Bank Transfer,Paid
ORD00204,Mpesa,Paid
ORD00205,Bank Transfer,Paid
ORD00206,Bank Transfer,Paid
ORD00207,Bank Transfer,Paid
ORD00208,Credit Card,Pending
ORD00209,Bank Transfer,Paid
ORD00210,Credit Card,Paid
ORD00211,Mpesa,Paid
ORD00212,Mpesa,Pending
ORD00213,Mpesa,Pending
ORD00214,Mpesa,Paid
ORD00215,Credit Card,Paid
ORD00216,Credit Card,Pending
ORD00217,Credit Card,Paid
ORD00218,Credit Card,Paid
ORD00219,Bank Transfer,Paid
ORD00220,Credit Card,Pending
ORD00221,Credit Card,Paid
ORD00222,Mpesa,Paid
ORD00223,Bank Transfer,Pending
ORD00224,Bank Transfer,Pending
ORD00225,Credit Card,Paid
ORD00226,Bank Transfer,Paid
ORD00227,Credit Card,Pending
ORD00228,Credit Card,Paid
ORD00229,Mpesa,Paid
ORD00230,Bank Transfer,Paid
ORD00231,Mpesa,Pending
ORD00232,Bank Transfer,Paid
ORD00233,Credit Card,Paid
ORD00234,Mpesa,Pending
ORD00235,Bank Transfer,Pending
ORD00236,Mpesa,Pending
ORD00237,Mpesa,Paid
ORD00238,Credit Card,Paid
ORD00239,Mpesa,Pending
ORD00240,Bank Transfer,Paid
ORD00241,Credit Card,Paid
ORD00242,Mpesa,Paid
ORD00243,Bank Transfer,Paid
ORD00244,Bank Transfer,Paid
ORD00245,Bank Transfer,Paid
ORD00246,Mpesa,Pending
ORD00247,Bank Transfer,Paid
ORD00248,Credit Card,Paid
ORD00249,Bank Transfer,Paid
ORD00250,Mpesa,Pending
ORD00251,Credit Card,Pending
ORD00252,Credit Card,Pending
ORD00253,Credit Card,Paid
ORD00254,Bank Transfer,Pending
ORD00255,Mpesa,Pending
ORD00256,Bank Transfer,Paid
ORD00257,Credit Card,Paid
ORD00258,Mpesa,Paid
ORD00259,Bank Transfer,Paid
ORD00260,Credit Card,Pending
ORD00261,Bank Transfer,Pending
ORD00262,Bank Transfer,Pending
ORD00263,Credit Card,Pending
ORD00264,Mpesa,Pending
ORD00265,Credit Card,Paid
ORD00266,Credit Card,Paid
ORD00267,Credit Card,Pending
ORD00268,Mpesa,Paid
ORD00269,Mpesa,Pending
ORD00270,Mpesa,Paid
ORD00271,Mpesa,Paid
ORD00272,Credit Card,Paid
ORD00273,Bank Transfer,Pending
ORD00274,Bank Transfer,Pending
ORD00275,Credit Card,Paid
ORD00276,Bank Transfer,Paid
ORD00277,Mpesa,Pending
ORD00278,Bank Transfer,Pending
ORD00279,Credit Card,Pending
ORD00280,Credit Card,Paid
ORD00281,Mpesa,Pending
ORD00282,Bank Transfer,Pending
ORD00283,Mpesa,Paid
ORD00284,Bank Transfer,Paid
ORD00285,Bank Transfer,Pending
ORD00286,Bank Transfer,Pending
ORD00287,Mpesa,Pending
ORD00288,Credit Card,Pending
ORD00289,Mpesa,Pending
ORD00290,Bank Transfer,Paid
ORD00291,Mpesa,Pending
ORD00292,Mpesa,Paid
ORD00293,Mpesa,Paid
ORD00294,Mpesa,Paid
ORD00295,Bank Transfer,Pending
ORD00296,Mpesa,Paid
ORD00297,Bank Transfer,Paid
ORD00298,Mpesa,Paid
ORD00299,Bank Transfer,Paid
ORD00300,Bank Transfer,Paid
ORD00301,Credit Card,Paid
ORD00302,Mpesa,Pending
ORD00303,Bank Transfer,Pending
ORD00304,Credit Card,Paid
ORD00305,Credit Card,Pending
ORD00306,Mpesa,Pending
ORD00307,Bank Transfer,Paid
ORD00308,Credit Card,Paid
ORD00309,Bank Transfer,Pending
ORD00310,Mpesa,Pending
ORD00311,Credit Card,Pending
ORD00312,Mpesa,Pending
ORD00313,Credit Card,Paid
ORD00314,Credit Card,Pending
ORD00315,Credit Card,Paid
ORD00316,Mpesa,Pending
ORD00317,Bank Transfer,Pending
ORD00318,Bank Transfer,Pending
ORD00319,Credit Card,Paid
ORD00320,Mpesa,Pending
ORD00321,Bank Transfer,Pending
ORD00322,Mpesa,Pending
ORD00323,Bank Transfer,Pending
ORD00324,Credit Card,Pending
ORD00325,Mpesa,Paid
ORD00326,Mpesa,Pending
ORD00327,Credit Card,Pending
ORD00328,Bank Transfer,Pending
ORD00329,Credit Card,Pending
ORD00330,Mpesa,Pending
ORD00331,Mpesa,Pending
ORD00332,Bank Transfer,Pending
ORD00333,Mpesa,Paid
ORD00334,Credit Card,Pending
ORD00335,Bank Transfer,Paid
ORD00336,Credit Card,Paid
ORD00337,Bank Transfer,Pending
ORD00338,Credit Card,Paid
ORD00339,Mpesa,Pending
ORD00340,Credit Card,Pending
ORD00341,Mpesa,Pending
ORD00342,Bank Transfer,Pending
ORD00343,Bank Transfer,Paid
ORD00344,Bank Transfer,Paid
ORD00345,Bank Transfer,Paid
ORD00346,Mpesa,Pending
ORD00347,Mpesa,Pending
ORD00348,Credit Card,Pending
ORD00349,Credit Card,Paid
ORD00350,Credit Card,Pending
ORD00351,Mpesa,Paid
ORD00352,Credit Card,Paid
ORD00353,Bank Transfer,Paid
ORD00354,Mpesa,Paid
ORD00355,Mpesa,Pending
ORD00356,Bank Transfer,Pending
ORD00357,Credit Card,Paid
ORD00358,Bank Transfer,Paid
ORD00359,Credit Card,Pending
ORD00360,Mpesa,Pending
ORD00361,Credit Card,Pending
ORD00362,Bank Transfer,Paid
ORD00363,Bank Transfer,Paid
ORD00364,Bank Transfer,Paid
ORD00365,Credit Card,Pending
ORD00366,Credit Card,Pending
ORD00367,Bank Transfer,Paid
ORD00368,Mpesa,Pending
ORD00369,Bank Transfer,Pending
ORD00370,Mpesa,Paid
ORD00371,Credit Card,Pending
ORD00372,Bank Transfer,Pending
ORD00373,Mpesa,Paid
ORD00374,Mpesa,Pending
ORD00375,Bank Transfer,Paid
ORD00376,Credit Card,Pending
ORD00377,Mpesa,Paid
ORD00378,Bank Transfer,Pending
ORD00379,Bank Transfer,Pending
ORD00380,Mpesa,Paid
ORD00381,Mpesa,Pending
ORD00382,Bank Transfer,Pending
ORD00383,Credit Card,Pending
ORD00384,Bank Transfer,Pending
ORD00385,Bank Transfer,Pending
ORD00386,Mpesa,Pending
ORD00387,Bank Transfer,Paid
ORD00388,Credit Card,Paid
ORD00389,Bank Transfer,Paid
ORD00390,Mpesa,Pending
ORD00391,Credit Card,Paid
ORD00392,Mpesa,Paid
ORD00393,Credit Card,Paid
ORD00394,Bank Transfer,Pending
ORD00395,Credit Card,Pending
ORD00396,Bank Transfer,Pending
ORD00397,Bank Transfer,Pending
ORD00398,Mpesa,Pending
ORD00399,Mpesa,Pending
ORD00400,Mpesa,Paid
ORD00401,Bank Transfer,Pending
ORD00402,Mpesa,Pending
ORD00403,Credit Card,Paid
ORD00404,Bank Transfer,Paid
ORD00405,Bank Transfer,Paid
ORD00406,Bank Transfer,Pending
ORD00407,Bank Transfer,Paid
ORD00408,Credit Card,Paid
ORD00409,Credit Card,Paid
ORD00410,Credit Card,Paid
ORD00411,Bank Transfer,Paid
ORD00412,Mpesa,Pending
ORD00413,Credit Card,Paid
ORD00414,Credit Card,Pending
ORD00415,Credit Card,Pending
ORD00416,Mpesa,Pending
ORD00417,Credit Card,Paid
ORD00418,Bank Transfer,Paid
ORD00419,Bank Transfer,Pending
ORD00420,Mpesa,Pending
ORD00421,Credit Card,Pending
ORD00422,Credit Card,Paid
ORD00423,Bank Transfer,Pending
ORD00424,Mpesa,Pending
ORD00425,Bank Transfer,Paid
ORD00426,Mpesa,Paid
ORD00427,Credit Card,Paid
ORD00428,Mpesa,Paid
ORD00429,Credit Card,Paid
ORD00430,Bank Transfer,Paid
ORD00431,Bank Transfer,Paid
ORD00432,Mpesa,Paid
ORD00433,Bank Transfer,Pending
ORD00434,Mpesa,Paid
ORD00435,Credit Card,Pending
ORD00436,Mpesa,Paid
ORD00437,Mpesa,Paid
ORD00438,Credit Card,Pending
ORD00439,Credit Card,Paid
ORD00440,Bank Transfer,Paid
ORD00441,Mpesa,Pending
ORD00442,Mpesa,Paid
ORD00443,Bank Transfer,Paid
ORD00444,Bank Transfer,Paid
ORD00445,Bank Transfer,Pending
ORD00446,Credit Card,Paid
ORD00447,Credit Card,Paid
ORD00448,Credit Card,Paid
ORD00449,Mpesa,Pending
ORD00450,Mpesa,Paid
ORD00451,Mpesa,Pending
ORD00452,Mpesa,Pending
ORD00453,Mpesa,Pending
ORD00454,Mpesa,Pending
ORD00455,Credit Card,Paid
ORD00456,Mpesa,Pending
ORD00457,Bank Transfer,Pending
ORD00458,Credit Card,Paid
ORD00459,Bank Transfer,Pending
ORD00460,Mpesa,Paid
ORD00461,Bank Transfer,Paid
ORD00462,Credit Card,Pending
ORD00463,Credit Card,Pending
ORD00464,Bank Transfer,Pending
ORD00465,Mpesa,Pending
ORD00466,Bank Transfer,Pending
ORD00467,Credit Card,Paid
ORD00468,Mpesa,Pending
ORD00469,Bank Transfer,Pending
ORD00470,Mpesa,Paid
ORD00471,Credit Card,Pending
ORD00472,Bank Transfer,Paid
ORD00473,Credit Card,Paid
ORD00474,Mpesa,Paid
ORD00475,Credit Card,Paid
ORD00476,Mpesa,Paid
ORD00477,Bank Transfer,Pending
ORD00478,Mpesa,Pending
ORD00479,Bank Transfer,Paid
ORD00480,Credit Card,Paid
ORD00481,Mpesa,Paid
ORD00482,Mpesa,Pending
ORD00483,Credit Card,Paid
ORD00484,Credit Card,Paid
ORD00485,Bank Transfer,Pending
ORD00486,Mpesa,Paid
ORD00487,Mpesa,Paid
ORD00488,Bank Transfer,Pending
ORD00489,Credit Card,Pending
ORD00490,Credit Card,Pending
ORD00491,Credit Card,Pending
ORD00492,Mpesa,Paid
ORD00493,Mpesa,Pending
ORD00494,Bank Transfer,Paid
ORD00495,Mpesa,Paid
ORD00496,Mpesa,Pending
ORD00497,Mpesa,Paid
ORD00498,Bank Transfer,Paid
ORD00499,Credit Card,Paid
ORD00500,Mpesa,Pending
ORD00501,Bank Transfer,Paid
ORD00502,Bank Transfer,Paid
ORD00503,Credit Card,Paid
ORD00504,Mpesa,Paid
ORD00505,Bank Transfer,Pending
ORD00506,Mpesa,Pending
ORD00507,Credit Card,Paid
ORD00508,Mpesa,Paid
ORD00509,Bank Transfer,Pending
ORD00510,Mpesa,Pending
ORD00511,Bank Transfer,Paid
ORD00512,Mpesa,Pending
ORD00513,Mpesa,Paid
ORD00514,Mpesa,Pending
ORD00515,Mpesa,Pending
ORD00516,Mpesa,Pending
ORD00517,Credit Card,Pending
ORD00518,Bank Transfer,Pending
ORD00519,Bank Transfer,Paid
ORD00520,Bank Transfer,Paid
ORD00521,Mpesa,Pending
ORD00522,Bank Transfer,Paid
ORD00523,Credit Card,Paid
ORD00524,Credit Card,Pending
ORD00525,Credit Card,Pending
ORD00526,Credit Card,Pending
ORD00527,Bank Transfer,Paid
ORD00528,Mpesa,Paid
ORD00529,Credit Card,Pending
ORD00530,Bank Transfer,Pending
ORD00531,Credit Card,Pending
ORD00532,Mpesa,Paid
ORD00533,Credit Card,Pending
ORD00534,Mpesa,Paid
ORD00535,Bank Transfer,Pending
ORD00536,Mpesa,Pending
ORD00537,Credit Card,Pending
ORD00538,Mpesa,Pending
ORD00539,Credit Card,Paid
ORD00540,Mpesa,Pending
ORD00541,Credit Card,Paid
ORD00542,Mpesa,Pending
ORD00543,Credit Card,Pending
ORD00544,Credit Card,Paid
ORD00545,Mpesa,Paid
ORD00546,Mpesa,Paid
ORD00547,Mpesa,Paid
ORD00548,Mpesa,Paid
ORD00549,Credit Card,Pending
ORD00550,Credit Card,Paid
ORD00551,Credit Card,Paid
ORD00552,Bank Transfer,Pending
ORD00553,Bank Transfer,Pending
ORD00554,Mpesa,Pending
ORD00555,Credit Card,Pending
ORD00556,Credit Card,Paid
ORD00557,Mpesa,Pending
ORD00558,Bank Transfer,Pending
ORD00559,Bank Transfer,Pending
ORD00560,Bank Transfer,Pending
ORD00561,Mpesa,Paid
ORD00562,Mpesa,Pending
ORD00563,Credit Card,Paid
ORD00564,Mpesa,Pending
